"Product Name","total_profit"
"Economy Rollaway Files","693.84"
"Fellowes PB200 Plastic Comb Binding Machine","693.56"
"Logitech Gaming G510s - Keyboard","676.52"
"Jabra SPEAK 410","654.17"
"Cisco SPA525G2 5-Line IP Phone","648.56"
"Microsoft Sculpt Comfort Mouse","634.41"
"Cameo Buff Policy Envelopes","632.26"
"Enermax Acrylux Wireless Keyboard","630.47"
"Electrix Architect's Clamp-On Swing Arm Lamp, Black","627.17"
"NETGEAR N750 Dual Band Wi-Fi Gigabit Router","622.80"
"Xerox 1893","619.36"
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black","608.04"
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver","593.96"
"Xiaomi Mi3","592.79"
"Plantronics Audio 995 Wireless Stereo Headset","587.13"
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","578.68"
"Pyle PMP37LED","576.90"
"Aastra 57i VoIP phone","575.33"
"Xerox 1917","574.69"
"Global Airflow Leather Mesh Back Chair, Black","573.72"
"Digium D40 VoIP phone","571.43"
"Tyvek Side-Opening Peel & Seel Expanding Envelopes","570.02"
"3M Polarizing Task Lamp with Clamp Arm, Light Gray","569.84"
"GBC DocuBind P50 Personal Binding Machine","569.42"
"O'Sullivan 2-Door Barrister Bookcase in Odessa Pine","566.47"
"Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center","563.82"
"GBC ProClick Punch Binding System","562.38"
"Ames Color-File Green Diamond Border X-ray Mailers","559.31"
"Logitech Wireless Marathon Mouse M705","554.89"
"Honeywell Quietcare HEPA Air Cleaner","549.76"
"BlackBerry Q10","548.06"
"White Computer Printout Paper by Universal","547.68"
"Xerox 1891","542.90"
"Hon Non-Folding Utility Tables","541.65"
"Logitech G600 MMO Gaming Mouse","540.73"
"Wi-Ex zBoost YX540 Cellular Phone Signal Booster","540.02"
"Xerox 1888","539.27"
"24 Capacity Maxi Data Binder Racks, Pearl","536.90"
"Logitech 910-002974 M325 Wireless Mouse for Web Scrolling","536.22"
"Xerox 1934","526.21"
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White","524.51"
"Polycom SoundStation2 EX Conference phone","518.34"
"Logitech Illuminated - Keyboard","515.91"
"Wilson Electronics DB Pro Signal Booster","515.52"
"Logitech G602 Wireless Gaming Mouse","515.14"
"Plantronics Audio 478 Stereo USB Headset","514.90"
"Airmail Envelopes","514.49"
"Global Comet Stacking Armless Chair","514.37"
"Apple iPhone 5S","512.99"
"Fellowes Staxonsteel Drawer Files","509.97"
"Zebra GX420t Direct Thermal/Thermal Transfer Printer","509.71"
"Plantronics Calisto P620-M USB Wireless Speakerphone System","505.65"
"Global Fabric Manager's Chair, Dark Gray","499.85"
"WD My Passport Ultra 2TB Portable External Hard Drive","499.80"
"Hon Mobius Operator's Chair","499.34"
"Logitech Wireless Performance Mouse MX for PC and Mac","497.95"
"Xerox 1906","497.58"
"GBC DocuBind 300 Electric Binding Machine","494.42"
"Global Manager's Adjustable Task Chair, Storm","493.70"
"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box","492.66"
"GBC DocuBind P100 Manual Binding Machine","489.64"
"DMI Arturo Collection Mission-style Design Wood Chair","486.16"
"Fellowes Mobile File Cart, Black","485.00"
"Aastra 6757i CT Wireless VoIP phone","482.59"
"Razer Kraken PRO Over Ear PC and Music Headset","479.94"
"VTech DS6151","478.76"
"Avanti 1.7 Cu. Ft. Refrigerator","476.63"
"AT&T CL83451 4-Handset Telephone","473.78"
"Fellowes Super Stor/Drawer Files","473.34"
"Motorola L703CM","467.97"
"Cisco 9971 IP Video Phone Charcoal","466.40"
"DYMO CardScan Personal V9 Business Card Scanner","463.97"
"Xerox 1885","461.18"
"Bretford CR8500 Series Meeting Room Furniture","461.13"
"Hoover Upright Vacuum With Dirt Cup","460.35"
"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate","453.76"
"GBC Recycled Regency Composition Covers","451.94"
"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock","448.76"
"Hunt PowerHouse Electric Pencil Sharpener, Blue","448.16"
"Bevis 36 x 72 Conference Tables","448.16"
"Samsung Galaxy S4","438.19"
"netTALK DUO VoIP Telephone Service","430.42"
"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal","430.07"
"Tennsco Double-Tier Lockers","429.79"
"Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning","429.74"
"Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back","425.76"
"Toshiba IPT2010-SD IP Telephone","425.31"
"Xerox 1914","423.74"
"ShoreTel ShorePhone IP 230 VoIP phone","422.48"
"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box","421.98"
"Fellowes High-Stak Drawer Files","419.33"
"Vtech CS6719","418.52"
"Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room","417.02"
"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16","414.92"
"Office Star Flex Back Scooter Chair with Aluminum Finish Frame","413.65"
"GBC Therma-A-Bind 250T Electric Binding System","413.25"
"LG G3","411.58"
"Maxell 4.7GB DVD-R","411.23"
"Rush Hierlooms Collection 1"" Thick Stackable Bookcases","410.35"
"Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB","408.74"
"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11","408.26"
"Xerox 1988","404.29"
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection","401.21"
"Xerox 1909","400.98"
"Imation Bio 8GB USB Flash Drive Imation Corp","398.98"
"Nortel Networks T7316 E Nt8 B27","397.74"
"Ativa MDM8000 8-Sheet Micro-Cut Shredder","393.26"
"Fellowes Strictly Business Drawer File, Letter/Legal Size","388.75"
"Geemarc AmpliPOWER60","384.19"
"Avanti 4.4 Cu. Ft. Refrigerator","383.68"
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","381.21"
"Green Bar Computer Printout Paper","380.87"
"Kensington 4 Outlet MasterPiece Compact Power Control Center","380.58"
"Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology","377.55"
"Plantronics Voyager Pro HD - Bluetooth Headset","376.94"
"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock","375.97"
"Xerox 1913","375.04"
"Harmony Air Purifier","374.22"
"GBC Prestige Therm-A-Bind Covers","364.72"
"Hon Metal Bookcases, Putty","362.71"
"Avaya IP Phone 1140E VoIP phone","362.69"
"Luxo Adjustable Task Clamp Lamp","362.47"
"Kensington Expert Mouse Optical USB Trackball for PC or Mac","360.96"
"Star Micronics TSP800 TSP847IIU Receipt Printer","360.32"
"Kensington Orbit Wireless Mobile Trackball for PC and Mac","357.54"
"Xerox 191","354.25"
"Global Adaptabilities Conference Tables","354.03"
"Xerox 1883","354.02"
"Luxo Professional Combination Clamp-On Lamps","345.77"
"Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms","342.89"
"Xerox 1916","342.58"
"Imation 16GB Mini TravelDrive USB 2.0 Flash Drive","342.56"
"Motorola Droid Maxx","341.98"
"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock","340.51"
"AT&T TR1909W","340.17"
"Polycom VoiceStation 500 Conference phone","339.19"
"Harbour Creations Steel Folding Chair","336.38"
"GE 30522EE2","336.37"
"Xerox 1960","334.58"
"Satellite Sectional Post Binders","329.05"
"Ibico Plastic Spiral Binding Combs","328.93"
"Xerox 1943","328.68"
"Konftel 250 Conference phone - Charcoal black","324.69"
"Avaya 5420 Digital phone","323.98"
"Tops White Computer Printout Paper","321.83"
"SanDisk Cruzer 64 GB USB Flash Drive","319.62"
"Deflect-o Glass Clear Studded Chair Mats","318.36"
"HTC One Mini","317.49"
"Ooma Telo VoIP Home Phone System","314.98"
"Electrix Halogen Magnifier Lamp","314.77"
"Xerox 1964","314.74"
"Adtran 1202752G1","312.46"
"Bush Cubix Conference Tables, Fully Assembled","311.82"
"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2","311.77"
"Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection","311.22"
"Sauder Inglewood Library Bookcases","311.18"
"Boston Heavy-Duty Trimline Electric Pencil Sharpeners","310.89"
"Strathmore #10 Envelopes, Ultimate White","309.93"
"Xerox 1886","302.73"
"Innergie mMini Combo Duo USB Travel Charging Kit","302.33"
"Avery 485","300.34"
"Cisco SPA 502G IP Phone","299.88"
"Blue String-Tie & Button Interoffice Envelopes, 10 x 13","299.85"
"Howard Miller 13"" Diameter Goldtone Round Wall Clock","294.31"
"Staples","292.20"
"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue","291.78"
"Holmes Harmony HEPA Air Purifier for 17 x 20 Room","290.30"
"Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base","289.58"
"Dana Halogen Swing-Arm Architect Lamp","288.43"
"Mini 13-1/2 Capacity Data Binder Rack, Pearl","287.91"
"Logitech Trackman Marble Mouse","286.70"
"Xerox 1880","285.65"
"Nokia Lumia 925","284.74"
"Premium Transparent Presentation Covers by GBC","284.07"
"Global Push Button Manager's Chair, Indigo","283.75"
"Hon Every-Day Series Multi-Task Chairs","281.97"
"GBC VeloBinder Manual Binding System","280.72"
"Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive","280.27"
"Xerox 1911","279.74"
"Xerox 1940","279.20"
"Xerox 1942","278.96"
"Trav-L-File Heavy-Duty Shuttle II, Black","278.85"
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers","277.29"
"Polycom SoundPoint Pro SE-225 Corded phone","276.06"
"Hypercom P1300 Pinpad","275.31"
"Tyvek  Top-Opening Peel & Seel  Envelopes, Gray","274.94"
"ClearOne Communications CHAT 70 OC Speaker Phone","273.46"
"Xerox 1882","273.18"
"AT&T 1080 Phone","271.24"
"Star Micronics TSP100 TSP143LAN Receipt Printer","269.31"
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black","267.30"
"Executive Impressions Supervisor Wall Clock","266.07"
"Ibico Recycled Linen-Style Covers","262.48"
"File Shuttle II and Handi-File, Black","260.95"
"Xerox Color Copier Paper, 11"" x 17"", Ream","260.83"
"GBC Twin Loop Wire Binding Elements","259.58"
"Jabra Supreme Plus Driver Edition Headset","259.18"
"SAFCO Mobile Desk Side File, Wire Frame","259.13"
"Xerox 1944","257.37"
"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock","256.19"
"Sony Micro Vault Click 16 GB USB 2.0 Flash Drive","255.31"
"Xerox 1991","254.89"
"Harbour Creations 67200 Series Stacking Chairs","254.82"
"Recycled Steel Personal File for Standard File Folders","254.33"
"Iceberg Nesting Folding Chair, 19w x 6d x 43h","253.84"
"Nortel Meridian M5316 Digital phone","253.77"
"Plantronics HL10 Handset Lifter","250.54"
"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock","247.57"
"Global Value Steno Chair, Gray","246.00"
"Xerox 1951","244.74"
"Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting","244.39"
"Avery 477","244.24"
"Alphabetical Labels for Top Tab Filing","244.20"
"Logitech Mobile Speakerphone P710e - speaker phone","241.61"
"Eureka The Boss Cordless Rechargeable Stick Vac","241.14"
"Xerox 1935","239.00"
"Southworth 25% Cotton Premium Laser Paper and Envelopes","236.56"
"Xerox 1910","236.36"
"Xerox 1889","236.33"
"Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center","235.53"
"Tuf-Vin Binders","234.32"
"Situations Contoured Folding Chairs, 4/Set","234.23"
"Advantus Rolling Drawer Organizers","233.19"
"Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms","231.65"
"Apple iPhone 5C","229.98"
"Hon Metal Bookcases, Gray","229.98"
"Samsung Rugby III","229.65"
"Kensington 7 Outlet MasterPiece Power Center","229.59"
"Global Deluxe Office Fabric Chairs","229.39"
"Cisco IP Phone 7961G VoIP phone - Dark gray","228.40"
"Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive","228.31"
"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White","225.05"
"#10 White Business Envelopes,4 1/8 x 9 1/2","223.14"
"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish","222.59"
"Plantronics Cordless Phone Headset with In-line Volume - M214C","219.84"
"Lexmark 20R1285 X6650 Wireless All-in-One Printer","218.40"
"PureGear Roll-On Screen Protector","218.29"
"Xerox 1887","216.26"
"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue","215.55"
"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem","212.30"
"Logitech MX Performance Wireless Mouse","211.82"
"Mitel 5320 IP Phone VoIP phone","211.67"
"Surelock Post Binders","210.86"
"Bush Advantage Collection Round Conference Table","210.47"
"Cisco SPA508G","207.87"
"Xerox 1881","207.04"
"Belkin 5 Outlet SurgeMaster Power Centers","207.02"
"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish","206.87"
"Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener","206.27"
"Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays","205.76"
"Xerox 1884","204.60"
"Global Italian Leather Office Chair","204.33"
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","201.83"
"Mophie Juice Pack Helium for iPhone","201.57"
"Bionaire Personal Warm Mist Humidifier/Vaporizer","201.16"
"Fellowes Bases and Tops For Staxonsteel/High-Stak Systems","201.07"
"Xerox 1939","200.32"
"Xerox 1937","199.85"
"Belkin 325VA UPS Surge Protector, 6'","199.62"
"Home/Office Personal File Carts","198.13"
"Global Value Mid-Back Manager's Chair, Gray","197.89"
"Eldon Portable Mobile Manager","197.39"
"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts","197.10"
"Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB","196.03"
"Samsung HM1900 Bluetooth Headset","195.36"
"Xerox 197","195.17"
"Jackery Bar Premium Fast-charging Portable Charger","192.28"
"Howard Miller Distant Time Traveler Alarm Clock","192.21"
"Lexmark X 9575 Professional All-in-One Color Printer","190.08"
"Memorex Froggy Flash Drive 8 GB","189.57"
"Belkin 8 Outlet Surge Protector","188.51"
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case","185.88"
"Steel Personal Filing/Posting Tote","185.72"
"Xerox 194","184.19"
"Microsoft Wireless Mobile Mouse 4000","183.95"
"9-3/4 Diameter Round Wall Clock","183.13"
"Xerox 1925","182.78"
"Binding Machine Supplies","182.60"
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units","181.66"
"Maxell 74 Minute CD-R Spindle, 50/Pack","181.18"
"24-Hour Round Wall Clock","180.02"
"Panasonic KX MB2061 Multifunction Printer","179.73"
"Computer Room Manger, 14""","179.29"
"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page","178.70"
"Panasonic KX TS3282W Corded phone","178.48"
"Plantronics CS 50-USB - headset - Convertible, Monaural","178.15"
"Jet-Pak Recycled Peel 'N' Seal Padded Mailers","177.66"
"Socket Bluetooth Cordless Hand Scanner (CHS)","177.20"
"Belkin 7 Outlet SurgeMaster II","176.87"
"Plantronics Voyager Pro Legend","173.03"
"14-7/8 x 11 Blue Bar Computer Printout Paper","172.94"
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""","172.25"
"Tops Green Bar Computer Printout Paper","171.29"
"invisibleSHIELD by ZAGG Smudge-Free Screen Protector","171.26"
"Safco Chair Connectors, 6/Carton","170.85"
"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote","169.26"
"Computer Printout Paper with Letter-Trim Perforations","169.21"
"Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection","168.44"
"AT&T 17929 Lendline Telephone","167.39"
"Fellowes 8 Outlet Superior Workstation Surge Protector","166.84"
"Executive Impressions 14""","166.28"
"Avery 505","165.76"
"AT&T 841000 Phone","165.60"
"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set","165.21"
"Globe Weis Peel & Seel First Class Envelopes","164.86"
"Panasonic Business Telephones KX-T7736","163.82"
"Plantronics Encore H101 Dual Earpieces Headset","163.62"
"Green Canvas Binder for 8-1/2"" x 14"" Sheets","162.64"
"Polycom SoundPoint IP 450 VoIP phone","162.62"
"Belkin F9G930V10-GRY 9 Outlet Surge","162.58"
"ClearSounds CSC500 Amplified Spirit Phone Corded phone","162.38"
"Seth Thomas 14"" Day/Date Wall Clock","162.05"
"Round Specialty Laser Printer Labels","162.01"
"Logitech ClearChat Comfort/USB Headset H390","160.22"
"Xerox 19","159.55"
"Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges","157.96"
"Grandstream GXP1160 VoIP phone","157.71"
"Personal Creations Ink Jet Cards and Labels","157.51"
"Maxell LTO Ultrium - 800 GB","156.46"
"Xerox 226","155.78"
"Prismacolor Color Pencil Set","155.55"
"Office Star - Contemporary Task Swivel Chair","155.37"
"Panasonic KX TS208W Corded phone","154.81"
"Xerox 1929","154.40"
"Samsung Galaxy Note 3","153.99"
"Hunt Boston Vacuum Mount KS Pencil Sharpener","153.96"
"Fellowes Bankers Box Staxonsteel Drawer File/Stacking System","153.35"
"I.R.I.S IRISCard Anywhere 5 Card Scanner","152.09"
"Recycled Steel Personal File for Hanging File Folders","151.66"
"SAFCO Folding Chair Trolley","151.32"
"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes","150.97"
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""","150.54"
"Enermax Briskie RF Wireless Keyboard and Mouse Combo","150.37"
"Boston School Pro Electric Pencil Sharpener, 1670","149.94"
"Multimedia Mailers","149.90"
"Companion Letter/Legal File, Black","149.53"
"Logitech Wireless Boombox Speaker - portable - wireless, wired","148.96"
"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped","148.37"
"Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock","147.94"
"O'Sullivan 3-Shelf Heavy-Duty Bookcases","147.09"
"Vinyl Sectional Post Binders","147.03"
"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red","146.51"
"AT&T 1080 Corded phone","145.21"
"Tensor Computer Mounted Lamp","144.73"
"Nokia Lumia 1020","144.00"
"Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...","143.76"
"Euro-Pro Shark Turbo Vacuum","143.75"
"Motorola Moto X","142.80"
"Xerox 1979","140.96"
"Sanford 52201 APSCO Electric Pencil Sharpener","140.94"
"Hewlett-Packard Deskjet D4360 Printer","139.99"
"Hewlett-Packard Deskjet 6540 Color Inkjet Printer","139.62"
"Hon Valutask Swivel Chairs","139.35"
"White Envelopes, White Envelopes with Clear Poly Window","139.08"
"Xerox 1933","138.52"
"Ibico Laser Imprintable Binding System Covers","138.34"
"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black","138.31"
"Eldon Radial Chair Mat for Low to Medium Pile Carpets","135.93"
"Bush Andora Bookcase, Maple/Graphite Gray Finish","135.59"
"Newell 334","135.31"
"Panasonic KX T7736-B Digital phone","134.96"
"AT&T 1070 Corded Phone","133.79"
"LG Electronics Tone+ HBS-730 Bluetooth Headset","133.30"
"Logitech Wireless Headset H600 Over-The-Head Design","133.27"
"Avery 475","133.20"
"Seth Thomas 12"" Clock w/ Goldtone Case","132.82"
"Xblue XB-1670-86 X16 Small Office Telephone - Titanium","132.29"
"Sony 64GB Class 10 Micro SDHC R40 Memory Card","132.08"
"AT&T CL82213","131.32"
"RCA Visys Integrated PBX 8-Line Router","130.63"
"Tripp Lite TLP810NET Broadband Surge for Modem/Fax","130.48"
"Cisco Desktop Collaboration Experience DX650 IP Video Phone","130.21"
"Memorex Micro Travel Drive 32 GB","129.98"
"Acme 10"" Easy Grip Assistive Scissors","129.72"
"Jabra BIZ 2300 Duo QD Duo Corded Headset","129.53"
"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages","127.60"
"Maxell DVD-RAM Discs","127.56"
"Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with","127.48"
"Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black","127.45"
"Howard Miller 12"" Round Wall Clock","127.30"
"KeyTronic 6101 Series - Keyboard - Black","127.07"
"Panasonic KP-150 Electric Pencil Sharpener","126.81"
"Avery Address/Shipping Labels for Typewriters, 4"" x 2""","126.68"
"DAX Wood Document Frame","126.32"
"Memorex Micro Travel Drive 16 GB","126.16"
"HTC One","125.99"
"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb","125.78"
"Global Stack Chair with Arms, Black","125.02"
"Tenex B1-RE Series Chair Mats for Low Pile Carpets","124.61"
"Decoflex Hanging Personal Folder File, Blue","124.13"
"Staples in misc. colors","124.05"
"Deflect-o EconoMat Nonstudded, No Bevel Mat","123.96"
"DAX Natural Wood-Tone Poster Frame","123.93"
